video_id,press_frame
bp_001,32
bp_002,30
bp_003,-1
bp_004,-1
bp_005,73
bp_006,73
bp_007,33
bp_008,37
bp_009,42
bp_010,-1
bp_011,-1
bp_012,-1
bp_013,41
bp_014,41
bp_015,30
bp_016,33
bp_017,30
bp_018,30
bp_019,30
bp_020,32
bp_021,40
bp_022,38
bp_023,37
bp_024,40
bp_025,40
bp_026,39
bp_027,45
bp_028,54
bp_029,44
bp_030,35
bp_031,32
bp_032,30
bp_033,31
bp_034,34
bp_035,57
bp_036,39
bp_037,41
bp_038,48
bp_039,41
bp_040,50
bp_041,44
bp_042,54
bp_043,55
bp_044,34
bp_045,30
bp_046,64
bp_047,63
bp_048,36
bp_049,31
bp_050,-1
bp_051,72
bp_052,38
bp_053,31
bp_054,36
bp_055,72
bp_056,39
bp_057,44
bp_058,32
bp_059,52
bp_060,39
bp_061,59
bp_062,66
bp_063,50
bp_064,48
bp_065,54
bp_066,48
bp_067,41
bp_068,39
bp_069,52
bp_070,46
bp_071,47
bp_072,39
bp_073,38
bp_074,41
bp_075,41
bp_076,35
bp_077,-1
bp_078,-1
bp_079,35
bp_080,-1
bp_081,-1
bp_082,-1
bp_083,40
bp_084,37
bp_085,39
bp_086,42
bp_087,45
bp_088,30
bp_089,-1
bp_090,-1
bp_091,-1
bp_131,45
bp_132,54
bp_133,34
bp_134,43
bp_135,31
bp_136,35
bp_137,47
bp_138,-1
bp_139,47
bp_140,49
bp_141,63
bp_142,31
bp_143,36
bp_144,31
bp_145,46
bp_146,44
bp_147,31
bp_148,42
bp_149,62
bp_150,37
bp_151,34
bp_152,27
bp_153,-1
bp_154,-1
bp_155,-1
bp_156,39
bp_157,45
bp_158,56
bp_159,53
bp_160,49
bp_161,47
bp_162,45
bp_163,68
bp_164,53
bp_165,50
bp_166,37
bp_167,22
bp_168,25
bp_169,30
bp_170,26
bp_171,29
bp_172,42
bp_173,32
bp_174,27
bp_175,28
bp_176,46
bp_177,37
bp_178,61
bp_179,45
bp_180,66
bp_181,51
bp_182,63
bp_183,45
bp_184,35
bp_185,30
bp_186,70
bp_187,38
bp_188,55
bp_189,53
bp_190,46
bp_191,31
bp_192,30
bp_193,43
bp_194,56
bp_195,49
bp_196,48
bp_197,23
bp_198,27
bp_199,-1
bp_200,-1
bp_201,-1
bp_202,-1
bp_203,52
bp_204,41
bp_205,39
bp_206,44
bp_207,43
bp_208,45
bp_209,44
bp_210,46
bp_211,47
bp_212,45
bp_213,49
bp_214,42
bp_215,-1
bp_216,-1
bp_217,-1
bp_218,-1
bp_219,-1
bp_220,46
bp_221,61
bp_222,63
bp_223,-1
bp_224,-1
bp_225,-1
bp_226,-1
bp_227,-1
bp_228,-1
bp_229,-1
bp_230,-1
bp_231,-1
bp_232,-1
bp_233,-1
bp_234,-1
bp_235,-1
bp_236,-1
bp_237,-1
bp_238,62
bp_239,44
bp_240,65
bp_241,64
bp_242,64
bp_243,46
bp_244,42
bp_245,43
bp_246,81
bp_247,-1
bp_248,-1
bp_249,-1
bp_250,-1
bp_251,-1
bp_252,-1
bp_253,-1
bp_254,-1
bp_255,-1
bp_256,-1
bp_257,-1
bp_258,-1
bp_259,-1
