video_id,movimiento,camara,archivo,resultado,label,codigos,criterios,etiquetador,timestamp
"bp_001","BENCH PRESS","2","bp_001_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:23"
"bp_002","BENCH PRESS","2","bp_002_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:23"
"bp_003","BENCH PRESS","2","bp_003_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_004","BENCH PRESS","2","bp_004_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_005","BENCH PRESS","2","bp_005_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_006","BENCH PRESS","2","bp_006_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_007","BENCH PRESS","2","bp_007_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_008","BENCH PRESS","2","bp_008_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_009","BENCH PRESS","2","bp_009_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_010","BENCH PRESS","2","bp_010_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_011","BENCH PRESS","2","bp_011_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_012","BENCH PRESS","2","bp_012_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_013","BENCH PRESS","2","bp_013_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_014","BENCH PRESS","2","bp_014_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_015","BENCH PRESS","2","bp_015_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_016","BENCH PRESS","2","bp_016_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_017","BENCH PRESS","2","bp_017_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_018","BENCH PRESS","2","bp_018_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_019","BENCH PRESS","2","bp_019_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_020","BENCH PRESS","2","bp_020_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_021","BENCH PRESS","2","bp_021_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_022","BENCH PRESS","2","bp_022_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_023","BENCH PRESS","2","bp_023_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_024","BENCH PRESS","2","bp_024_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_025","BENCH PRESS","2","bp_025_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_026","BENCH PRESS","2","bp_026_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_027","BENCH PRESS","2","bp_027_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_028","BENCH PRESS","2","bp_028_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_029","BENCH PRESS","2","bp_029_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_030","BENCH PRESS","2","bp_030_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
"bp_031","BENCH PRESS","2","bp_031_cam2.mp4","valido","1","","","Alfredo","2026-09-07 01:24"
