video_id,movimiento,camara,archivo,resultado,label,codigos,criterios,etiquetador,timestamp
"bp_001","BENCH PRESS","1","bp_001_cam1.mp4","invalido","0","BP-11","Pies del atleta contactan el banco o sus soportes / levantar los pies","Francisco","2026-06-23 02:52"
"bp_002","BENCH PRESS","1","bp_002_cam1.mp4","valido","1","","","Francisco","2026-06-23 02:53"
"bp_003","BENCH PRESS","1","bp_003_cam1.mp4","invalido","0","BP-10","No obedecer señal del árbitro en inicio, durante o finalización","Francisco","2026-06-23 02:54"
"bp_004","BENCH PRESS","1","bp_004_cam1.mp4","invalido","0","BP-10","No obedecer señal del árbitro en inicio, durante o finalización","Francisco","2026-06-23 02:55"
"bp_005","BENCH PRESS","1","bp_005_cam1.mp4","valido","1","","","Francisco","2026-06-23 02:55"
"bp_006","BENCH PRESS","1","bp_006_cam1.mp4","valido","1","","","Francisco","2026-06-23 02:56"
"bp_007","BENCH PRESS","1","bp_007_cam1.mp4","valido","1","","","Francisco","2026-06-23 02:56"
"bp_008","BENCH PRESS","1","bp_008_cam1.mp4","valido","1","","","Francisco","2026-06-23 02:56"
"bp_009","BENCH PRESS","1","bp_009_cam1.mp4","valido","1","","","Francisco","2026-06-23 02:57"
"bp_010","BENCH PRESS","1","bp_010_cam1.mp4","invalido","0","BP-10","No obedecer señal del árbitro en inicio, durante o finalización","Francisco","2026-06-23 02:57"
"bp_011","BENCH PRESS","1","bp_011_cam1.mp4","invalido","0","BP-10","No obedecer señal del árbitro en inicio, durante o finalización","Francisco","2026-06-23 02:57"
"bp_012","BENCH PRESS","1","bp_012_cam1.mp4","invalido","0","BP-10|BP-11","No obedecer señal del árbitro en inicio, durante o finalización | Pies del atleta contactan el banco o sus soportes / levantar los pies","Francisco","2026-06-23 02:58"
"bp_013","BENCH PRESS","1","bp_013_cam1.mp4","valido","1","","","Francisco","2026-06-23 02:58"
"bp_014","BENCH PRESS","1","bp_014_cam1.mp4","valido","1","","","Francisco","2026-06-23 02:58"
"bp_015","BENCH PRESS","1","bp_015_cam1.mp4","valido","1","","","Francisco","2026-06-23 02:58"
"bp_016","BENCH PRESS","1","bp_016_cam1.mp4","valido","1","","","Francisco","2026-06-23 02:58"
"bp_017","BENCH PRESS","1","bp_017_cam1.mp4","valido","1","","","Francisco","2026-06-23 02:59"
"bp_018","BENCH PRESS","1","bp_018_cam1.mp4","valido","1","","","Francisco","2026-06-23 03:04"
"bp_019","BENCH PRESS","1","bp_019_cam1.mp4","valido","1","","","Francisco","2026-06-23 03:04"
