video_id,movimiento,camara,archivo,resultado,label,codigos,criterios,etiquetador,timestamp
"dl_001","DEADLIFT","1","dl_001_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_002","DEADLIFT","1","dl_002_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_003","DEADLIFT","1","dl_003_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_004","DEADLIFT","1","dl_004_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_005","DEADLIFT","1","dl_005_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_006","DEADLIFT","1","dl_006_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_007","DEADLIFT","1","dl_007_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_008","DEADLIFT","1","dl_008_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_009","DEADLIFT","1","dl_009_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_010","DEADLIFT","1","dl_010_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_011","DEADLIFT","1","dl_011_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_012","DEADLIFT","1","dl_012_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_013","DEADLIFT","1","dl_013_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_014","DEADLIFT","1","dl_014_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_015","DEADLIFT","1","dl_015_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_016","DEADLIFT","1","dl_016_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_017","DEADLIFT","1","dl_017_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_018","DEADLIFT","1","dl_018_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_019","DEADLIFT","1","dl_019_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_020","DEADLIFT","1","dl_020_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_021","DEADLIFT","1","dl_021_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_022","DEADLIFT","1","dl_022_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_023","DEADLIFT","1","dl_023_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_024","DEADLIFT","1","dl_024_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_025","DEADLIFT","1","dl_025_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_026","DEADLIFT","1","dl_026_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_027","DEADLIFT","1","dl_027_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_028","DEADLIFT","1","dl_028_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_029","DEADLIFT","1","dl_029_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_030","DEADLIFT","1","dl_030_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_031","DEADLIFT","1","dl_031_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_032","DEADLIFT","1","dl_032_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_033","DEADLIFT","1","dl_033_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_034","DEADLIFT","1","dl_034_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_035","DEADLIFT","1","dl_035_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_036","DEADLIFT","1","dl_036_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_037","DEADLIFT","1","dl_037_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_038","DEADLIFT","1","dl_038_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_039","DEADLIFT","1","dl_039_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_040","DEADLIFT","1","dl_040_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_041","DEADLIFT","1","dl_041_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_042","DEADLIFT","1","dl_042_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_043","DEADLIFT","1","dl_043_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_044","DEADLIFT","1","dl_044_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_045","DEADLIFT","1","dl_045_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_046","DEADLIFT","1","dl_046_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_047","DEADLIFT","1","dl_047_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_048","DEADLIFT","1","dl_048_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_049","DEADLIFT","1","dl_049_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
