"video_id","movimiento","camara","archivo","resultado","label","codigos","criterios","etiquetador","timestamp"
"dl_001","1","1","dl_001_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_002","2","1","dl_002_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_003","3","1","dl_003_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_004","4","1","dl_004_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_005","5","1","dl_005_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_006","6","1","dl_006_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_007","7","1","dl_007_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_008","8","1","dl_008_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_009","9","1","dl_009_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_010","10","1","dl_010_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_011","11","1","dl_011_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_012","12","1","dl_012_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_013","13","1","dl_013_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_014","14","1","dl_014_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_015","15","1","dl_015_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_016","16","1","dl_016_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_017","17","1","dl_017_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_018","18","1","dl_018_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_019","19","1","dl_019_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_020","20","1","dl_020_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_021","21","1","dl_021_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_022","22","1","dl_022_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_023","23","1","dl_023_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_024","24","1","dl_024_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_025","25","1","dl_025_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_026","26","1","dl_026_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_027","27","1","dl_027_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_028","28","1","dl_028_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_029","29","1","dl_029_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_030","30","1","dl_030_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_031","31","1","dl_031_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_032","32","1","dl_032_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_033","33","1","dl_033_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_034","34","1","dl_034_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_035","35","1","dl_035_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
"dl_036","36","1","dl_036_cam1.mp4","valido","1","","","Sin nombre","2026-06-28 17:11"
