video_id,movimiento,camara,archivo,resultado,label,codigos,criterios,etiquetador,timestamp
"sq_001","SQUAT","1","sq_001_cam1.mp4","valido","1","","","Bastian","2026-09-09 16:25"
"sq_002","SQUAT","1","sq_002_cam1.mp4","valido","1","","","Bastian","2026-09-09 16:27"
"sq_003","SQUAT","1","sq_003_cam1.mp4","valido","1","","","Bastian","2026-09-09 16:28"
"sq_004","SQUAT","1","sq_004_cam1.mp4","valido","1","","","Bastian","2026-09-09 16:28"
"sq_005","SQUAT","1","sq_005_cam1.mp4","valido","1","","","Bastian","2026-09-09 16:28"
"sq_006","SQUAT","1","sq_006_cam1.mp4","valido","1","","","Bastian","2026-09-09 16:28"
"sq_007","SQUAT","1","sq_007_cam1.mp4","valido","1","","","Bastian","2026-09-09 16:28"
"sq_008","SQUAT","1","sq_008_cam1.mp4","valido","1","","","Bastian","2026-09-09 16:28"
"sq_009","SQUAT","1","sq_009_cam1.mp4","valido","1","","","Bastian","2026-09-09 16:28"
"sq_010","SQUAT","1","sq_010_cam1.mp4","valido","1","","","Bastian","2026-09-09 16:29"
"sq_011","SQUAT","1","sq_011_cam1.mp4","invalido","0","SQ-02","Doble rebote en el fondo o movimiento descendente durante el ascenso","Bastian","2026-09-09 16:29"
"sq_012","SQUAT","1","sq_012_cam1.mp4","valido","1","","","Bastian","2026-09-09 16:29"
"sq_013","SQUAT","1","sq_013_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:34"
"sq_014","SQUAT","1","sq_014_cam1.mp4","valido","1","","","Bastian","2026-09-09 16:35"
"sq_015","SQUAT","1","sq_015_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:48"
"sq_016","SQUAT","1","sq_016_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:48"
"sq_017","SQUAT","1","sq_017_cam1.mp4","invalido","0","","","Bastian","2026-09-09 16:48"
"sq_018","SQUAT","1","sq_018_cam1.mp4","invalido","0","","","Bastian","2026-09-09 16:48"
"sq_019","SQUAT","1","sq_019_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:48"
"sq_020","SQUAT","1","sq_020_cam1.mp4","invalido","0","SQ-01|SQ-02","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas | Doble rebote en el fondo o movimiento descendente durante el ascenso","Bastian","2026-09-09 16:48"
"sq_021","SQUAT","1","sq_021_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:49"
"sq_022","SQUAT","1","sq_022_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:49"
"sq_023","SQUAT","1","sq_023_cam1.mp4","valido","1","","","Bastian","2026-09-09 16:49"
"sq_024","SQUAT","1","sq_024_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:51"
"sq_025","SQUAT","1","sq_025_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:51"
"sq_026","SQUAT","1","sq_026_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:51"
"sq_027","SQUAT","1","sq_027_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:51"
"sq_028","SQUAT","1","sq_028_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:51"
"sq_029","SQUAT","1","sq_029_cam1.mp4","invalido","0","SQ-01|SQ-02","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas | Doble rebote en el fondo o movimiento descendente durante el ascenso","Bastian","2026-09-09 16:51"
"sq_030","SQUAT","1","sq_030_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:52"
"sq_031","SQUAT","1","sq_031_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:52"
"sq_032","SQUAT","1","sq_032_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:52"
"sq_033","SQUAT","1","sq_033_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:52"
"sq_034","SQUAT","1","sq_034_cam1.mp4","invalido","0","SQ-02","Doble rebote en el fondo o movimiento descendente durante el ascenso","Bastian","2026-09-09 16:52"
"sq_035","SQUAT","1","sq_035_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:52"
"sq_036","SQUAT","1","sq_036_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:53"
"sq_037","SQUAT","1","sq_037_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:53"
"sq_038","SQUAT","1","sq_038_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:53"
"sq_039","SQUAT","1","sq_039_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:53"
"sq_040","SQUAT","1","sq_040_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:54"
"sq_041","SQUAT","1","sq_041_cam1.mp4","valido","1","","","Bastian","2026-09-09 16:54"
"sq_042","SQUAT","1","sq_042_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:54"
"sq_043","SQUAT","1","sq_043_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:54"
"sq_044","SQUAT","1","sq_044_cam1.mp4","invalido","0","SQ-02|SQ-01","Doble rebote en el fondo o movimiento descendente durante el ascenso | No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:55"
"sq_045","SQUAT","1","sq_045_cam1.mp4","invalido","0","SQ-02","Doble rebote en el fondo o movimiento descendente durante el ascenso","Bastian","2026-09-09 16:55"
"sq_046","SQUAT","1","sq_046_cam1.mp4","valido","1","","","Bastian","2026-09-09 16:55"
"sq_047","SQUAT","1","sq_047_cam1.mp4","invalido","0","SQ-02","Doble rebote en el fondo o movimiento descendente durante el ascenso","Bastian","2026-09-09 16:55"
"sq_048","SQUAT","1","sq_048_cam1.mp4","invalido","0","SQ-02|SQ-04","Doble rebote en el fondo o movimiento descendente durante el ascenso | Pasos hacia atrás, adelante o movimiento lateral de los pies","Bastian","2026-09-09 16:55"
"sq_049","SQUAT","1","sq_049_cam1.mp4","invalido","0","SQ-01|SQ-02|SQ-04","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas | Doble rebote en el fondo o movimiento descendente durante el ascenso | Pasos hacia atrás, adelante o movimiento lateral de los pies","Bastian","2026-09-09 16:56"
"sq_050","SQUAT","1","sq_050_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:56"
"sq_051","SQUAT","1","sq_051_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:56"
"sq_052","SQUAT","1","sq_052_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:56"
"sq_053","SQUAT","1","sq_053_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:56"
"sq_054","SQUAT","1","sq_054_cam1.mp4","valido","1","","","Bastian","2026-09-09 16:57"
"sq_055","SQUAT","1","sq_055_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:57"
"sq_056","SQUAT","1","sq_056_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:57"
"sq_057","SQUAT","1","sq_057_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:57"
"sq_058","SQUAT","1","sq_058_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:57"
"sq_059","SQUAT","1","sq_059_cam1.mp4","invalido","0","SQ-02|SQ-04","Doble rebote en el fondo o movimiento descendente durante el ascenso | Pasos hacia atrás, adelante o movimiento lateral de los pies","Bastian","2026-09-09 16:57"
"sq_060","SQUAT","1","sq_060_cam1.mp4","invalido","0","SQ-01|SQ-04","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas | Pasos hacia atrás, adelante o movimiento lateral de los pies","Bastian","2026-09-09 16:58"
"sq_061","SQUAT","1","sq_061_cam1.mp4","invalido","0","SQ-04","Pasos hacia atrás, adelante o movimiento lateral de los pies","Bastian","2026-09-09 16:59"
"sq_062","SQUAT","1","sq_062_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:59"
"sq_063","SQUAT","1","sq_063_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:59"
"sq_064","SQUAT","1","sq_064_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:59"
"sq_065","SQUAT","1","sq_065_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 16:59"
"sq_066","SQUAT","1","sq_066_cam1.mp4","invalido","0","SQ-01|SQ-04","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas | Pasos hacia atrás, adelante o movimiento lateral de los pies","Bastian","2026-09-09 16:59"
"sq_067","SQUAT","1","sq_067_cam1.mp4","invalido","0","SQ-01|SQ-02","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas | Doble rebote en el fondo o movimiento descendente durante el ascenso","Bastian","2026-09-09 16:59"
"sq_068","SQUAT","1","sq_068_cam1.mp4","invalido","0","SQ-01|SQ-02","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas | Doble rebote en el fondo o movimiento descendente durante el ascenso","Bastian","2026-09-09 16:59"
"sq_069","SQUAT","1","sq_069_cam1.mp4","valido","1","","","Bastian","2026-09-09 17:00"
"sq_070","SQUAT","1","sq_070_cam1.mp4","valido","1","","","Bastian","2026-09-09 17:00"
"sq_071","SQUAT","1","sq_071_cam1.mp4","valido","1","","","Bastian","2026-09-09 17:00"
"sq_072","SQUAT","1","sq_072_cam1.mp4","invalido","0","SQ-04","Pasos hacia atrás, adelante o movimiento lateral de los pies","Bastian","2026-09-09 17:00"
"sq_073","SQUAT","1","sq_073_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 17:24"
"sq_074","SQUAT","1","sq_074_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 17:24"
"sq_075","SQUAT","1","sq_075_cam1.mp4","invalido","0","SQ-01","No bajar hasta que muslos en cadera queden por debajo del tope de rodillas","Bastian","2026-09-09 17:24"
