video_id,movimiento,camara,archivo,resultado,label,codigos,criterios,etiquetador,timestamp
"sq_001","SQUAT","1","sq_001_cam1.mp4","invalido","0","SQ-04","Pasos hacia atrás, adelante o movimiento lateral de los pies","Alfredo","2026-09-11 04:20"
"sq_002","SQUAT","1","sq_002_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:21"
"sq_003","SQUAT","1","sq_003_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:21"
"sq_004","SQUAT","1","sq_004_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:21"
"sq_005","SQUAT","1","sq_005_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:21"
"sq_006","SQUAT","1","sq_006_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:21"
"sq_007","SQUAT","1","sq_007_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:25"
"sq_008","SQUAT","1","sq_008_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:25"
"sq_009","SQUAT","1","sq_009_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:25"
"sq_010","SQUAT","1","sq_010_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:25"
"sq_011","SQUAT","1","sq_011_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:25"
"sq_012","SQUAT","1","sq_012_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:25"
"sq_013","SQUAT","1","sq_013_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:25"
"sq_014","SQUAT","1","sq_014_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:25"
"sq_015","SQUAT","1","sq_015_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:25"
"sq_016","SQUAT","1","sq_016_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:25"
"sq_017","SQUAT","1","sq_017_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:25"
"sq_018","SQUAT","1","sq_018_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:25"
"sq_019","SQUAT","1","sq_019_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:25"
"sq_020","SQUAT","1","sq_020_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:25"
"sq_021","SQUAT","1","sq_021_cam1.mp4","valido","1","","","Alfredo","2026-09-11 04:25"
