video_id,movimiento,camara,archivo,resultado,label,codigos,criterios,etiquetador,timestamp
"sq_001","SQUAT","3","sq_001_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_002","SQUAT","3","sq_002_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_003","SQUAT","3","sq_003_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_004","SQUAT","3","sq_004_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_005","SQUAT","3","sq_005_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_006","SQUAT","3","sq_006_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_007","SQUAT","3","sq_007_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_008","SQUAT","3","sq_008_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_009","SQUAT","3","sq_009_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_010","SQUAT","3","sq_010_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_011","SQUAT","3","sq_011_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_012","SQUAT","3","sq_012_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_013","SQUAT","3","sq_013_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_014","SQUAT","3","sq_014_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_015","SQUAT","3","sq_015_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_016","SQUAT","3","sq_016_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_017","SQUAT","3","sq_017_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_018","SQUAT","3","sq_018_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_019","SQUAT","3","sq_019_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_020","SQUAT","3","sq_020_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_021","SQUAT","3","sq_021_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_022","SQUAT","3","sq_022_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_023","SQUAT","3","sq_023_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_024","SQUAT","3","sq_024_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_025","SQUAT","3","sq_025_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_026","SQUAT","3","sq_026_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_027","SQUAT","3","sq_027_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_028","SQUAT","3","sq_028_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:25"
"sq_029","SQUAT","3","sq_029_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:26"
"sq_030","SQUAT","3","sq_030_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:26"
"sq_031","SQUAT","3","sq_031_cam3.mp4","valido","1","","","Sin nombre","2026-06-12 03:26"
